Date	Time	Global_active_power	Global_reactive_power	Voltage	Global_intensity	Sub_metering_1	Sub_metering_2	Sub_metering_3
19/08/2023	14:00:00	0.366	0.126	233.511	1.658	0.219	0.159	0.253
19/08/2023	16:00:00	0.465	0.074	228.711	2.058	0.289	0.209	0.332
19/08/2023	18:00:00	0.861	0.179	234.441	3.75	0.568	0.405	0.649
19/08/2023	20:00:00	0.676	0.221	232.389	3.059	0.444	0.309	0.499
19/08/2023	22:00:00	0.382	0.092	225.46	1.742	0.228	0.169	0.265
20/08/2023	00:00:00	0.145	0.025	239.218	0.614	0.066	0.048	0.076
20/08/2023	02:00:00	0.08	0.023	238.839	0.349	0.022	0.015	0.024
20/08/2023	04:00:00	0.116	0.036	237.725	0.512	0.046	0.033	0.053
20/08/2023	06:00:00	0.807	0.268	229.79	3.7	0.532	0.377	0.605
20/08/2023	08:00:00	0.434	0.112	235.401	1.904	0.262	0.197	0.307
20/08/2023	10:00:00	0.318	0.107	239.753	1.398	0.188	0.134	0.214
20/08/2023	12:00:00	0.668	0.154	236.063	2.903	0.438	0.305	0.493
20/08/2023	14:00:00	0.345	0.07	229.445	1.534	0.21	0.145	0.235
20/08/2023	16:00:00	0.524	0.141	238.616	2.273	0.332	0.237	0.379
20/08/2023	18:00:00	0.846	0.194	234.719	3.698	0.567	0.391	0.634
20/08/2023	20:00:00	0.717	0.212	230.102	3.25	0.456	0.342	0.534
20/08/2023	22:00:00	0.405	0.113	225.632	1.865	0.249	0.177	0.284
21/08/2023	00:00:00	0.116	0.041	233.844	0.525	0.045	0.034	0.053
21/08/2023	02:00:00	0.086	0.029	230.431	0.393	0.025	0.018	0.029
21/08/2023	04:00:00	0.102	0.025	228.294	0.46	0.035	0.027	0.042
21/08/2023	06:00:00	0.624	0.165	232.964	2.77	0.405	0.285	0.458
21/08/2023	08:00:00	0.379	0.102	239.543	1.639	0.228	0.166	0.263
21/08/2023	10:00:00	0.299	0.085	229.108	1.356	0.17	0.128	0.199
21/08/2023	12:00:00	0.511	0.101	239.347	2.176	0.326	0.228	0.368
21/08/2023	14:00:00	0.317	0.106	227.665	1.467	0.184	0.135	0.213
21/08/2023	16:00:00	0.448	0.107	235.676	1.954	0.275	0.202	0.318
21/08/2023	18:00:00	0.792	0.207	236.021	3.467	0.523	0.368	0.592
21/08/2023	20:00:00	0.595	0.178	228.766	2.715	0.387	0.268	0.434
21/08/2023	22:00:00	0.328	0.115	226.818	1.531	0.189	0.143	0.222
22/08/2023	00:00:00	0.13	0.036	235.514	0.571	0.054	0.041	0.064
22/08/2023	02:00:00	0.081	0.027	232.107	0.365	0.021	0.015	0.024
22/08/2023	04:00:00	0.095	0.023	234.215	0.417	0.031	0.023	0.036
22/08/2023	06:00:00	0.668	0.181	234.363	2.954	0.442	0.303	0.492
22/08/2023	08:00:00	0.374	0.13	227.511	1.743	0.229	0.161	0.259
22/08/2023	10:00:00	0.256	0.043	233.769	1.108	0.145	0.102	0.164
22/08/2023	12:00:00	0.552	0.154	234.621	2.442	0.352	0.25	0.401
22/08/2023	14:00:00	0.351	0.057	230.814	1.541	0.216	0.147	0.239
22/08/2023	16:00:00	0.417	0.143	226.127	1.948	0.249	0.189	0.293
22/08/2023	18:00:00	0.667	0.232	235.209	3.002	0.427	0.312	0.494
22/08/2023	20:00:00	0.647	0.131	225.444	2.926	0.412	0.302	0.477
22/08/2023	22:00:00	0.335	0.082	235.412	1.466	0.204	0.139	0.227
23/08/2023	00:00:00	0.127	0.04	236.992	0.56	0.053	0.039	0.061
23/08/2023	02:00:00	0.085	0.013	237.041	0.361	0.024	0.017	0.028
23/08/2023	04:00:00	0.094	0.028	236.591	0.416	0.032	0.022	0.035
23/08/2023	06:00:00	0.735	0.16	231.449	3.248	0.487	0.337	0.546
23/08/2023	08:00:00	0.334	0.09	238.458	1.451	0.203	0.139	0.226
23/08/2023	10:00:00	0.272	0.08	238.354	1.189	0.151	0.114	0.178
23/08/2023	12:00:00	0.61	0.187	226.451	2.818	0.403	0.273	0.445
23/08/2023	14:00:00	0.352	0.086	233.587	1.55	0.21	0.151	0.241
23/08/2023	16:00:00	0.425	0.1	229.964	1.9	0.267	0.185	0.299
23/08/2023	18:00:00	0.768	0.265	236.786	3.431	0.502	0.359	0.574
23/08/2023	20:00:00	0.551	0.156	233.233	2.457	0.359	0.245	0.399
23/08/2023	22:00:00	0.352	0.118	226.833	1.637	0.215	0.149	0.241
24/08/2023	00:00:00	0.124	0.043	226.597	0.578	0.052	0.036	0.059
24/08/2023	02:00:00	0.074	0.017	237.264	0.319	0.016	0.012	0.019
24/08/2023	04:00:00	0.089	0.026	239.702	0.386	0.027	0.02	0.031
24/08/2023	06:00:00	0.728	0.112	239.119	3.082	0.482	0.334	0.541
24/08/2023	08:00:00	0.354	0.075	226.336	1.598	0.213	0.151	0.243
24/08/2023	10:00:00	0.278	0.095	238.514	1.231	0.16	0.114	0.182
24/08/2023	12:00:00	0.509	0.179	232.036	2.326	0.314	0.235	0.367
24/08/2023	14:00:00	0.298	0.065	234.708	1.299	0.174	0.123	0.198
24/08/2023	16:00:00	0.485	0.151	230.648	2.2	0.311	0.212	0.346
24/08/2023	18:00:00	0.686	0.245	239.356	3.042	0.457	0.309	0.505
24/08/2023	20:00:00	0.55	0.146	238.289	2.387	0.36	0.242	0.397
24/08/2023	22:00:00	0.332	0.053	233.297	1.441	0.198	0.141	0.225
25/08/2023	00:00:00	0.124	0.035	235.397	0.548	0.052	0.037	0.059
25/08/2023	02:00:00	0.082	0.029	238.437	0.365	0.022	0.016	0.026
25/08/2023	04:00:00	0.105	0.03	238.276	0.46	0.039	0.028	0.044
25/08/2023	06:00:00	0.655	0.183	227.884	2.984	0.42	0.305	0.484
25/08/2023	08:00:00	0.369	0.058	226.25	1.651	0.23	0.155	0.253
25/08/2023	10:00:00	0.293	0.09	233.034	1.317	0.174	0.119	0.194
25/08/2023	12:00:00	0.585	0.103	227.507	2.613	0.382	0.262	0.426
25/08/2023	14:00:00	0.352	0.087	235.841	1.536	0.21	0.152	0.241
25/08/2023	16:00:00	0.482	0.17	237.918	2.148	0.294	0.222	0.346
25/08/2023	18:00:00	0.708	0.109	237.096	3.02	0.451	0.336	0.526
25/08/2023	20:00:00	0.616	0.098	230.737	2.704	0.404	0.277	0.451
25/08/2023	22:00:00	0.387	0.112	232.037	1.738	0.233	0.171	0.27
26/08/2023	00:00:00	0.121	0.025	237.898	0.52	0.051	0.035	0.057
26/08/2023	02:00:00	0.098	0.021	233.32	0.427	0.034	0.023	0.038
26/08/2023	04:00:00	0.114	0.032	228.761	0.517	0.044	0.033	0.051
26/08/2023	06:00:00	0.822	0.265	234.071	3.691	0.546	0.382	0.616
26/08/2023	08:00:00	0.409	0.139	230.401	1.874	0.254	0.177	0.286
26/08/2023	10:00:00	0.312	0.083	236.53	1.364	0.187	0.128	0.208
26/08/2023	12:00:00	0.627	0.117	233.402	2.734	0.402	0.29	0.462
26/08/2023	14:00:00	0.329	0.071	225.526	1.492	0.197	0.138	0.223
26/08/2023	16:00:00	0.508	0.171	228.252	2.348	0.311	0.236	0.366
26/08/2023	18:00:00	0.774	0.226	233.831	3.451	0.505	0.364	0.58
26/08/2023	20:00:00	0.719	0.193	230.254	3.234	0.476	0.329	0.533
26/08/2023	22:00:00	0.391	0.074	234.307	1.698	0.245	0.166	0.271
27/08/2023	00:00:00	0.124	0.034	238.813	0.537	0.051	0.037	0.059
27/08/2023	02:00:00	0.088	0.024	239.604	0.381	0.026	0.019	0.03
27/08/2023	04:00:00	0.109	0.038	228.654	0.506	0.041	0.03	0.047
27/08/2023	06:00:00	0.698	0.235	227.348	3.239	0.457	0.321	0.517
27/08/2023	08:00:00	0.374	0.068	230.216	1.65	0.226	0.162	0.259
27/08/2023	10:00:00	0.321	0.105	227.65	1.483	0.184	0.139	0.217
27/08/2023	12:00:00	0.58	0.192	229.223	2.664	0.362	0.271	0.424
27/08/2023	14:00:00	0.328	0.107	231.92	1.487	0.193	0.14	0.222
27/08/2023	16:00:00	0.488	0.172	235.318	2.2	0.312	0.215	0.349
27/08/2023	18:00:00	0.819	0.153	226.31	3.681	0.552	0.375	0.611
27/08/2023	20:00:00	0.607	0.124	229.198	2.703	0.396	0.274	0.444
27/08/2023	22:00:00	0.374	0.111	228.198	1.709	0.227	0.162	0.259
28/08/2023	00:00:00	0.124	0.035	230.56	0.558	0.052	0.036	0.059
28/08/2023	02:00:00	0.073	0.017	228.836	0.328	0.017	0.011	0.018
28/08/2023	04:00:00	0.097	0.033	232.975	0.44	0.033	0.024	0.038
28/08/2023	06:00:00	0.69	0.217	228.689	3.163	0.445	0.322	0.512
28/08/2023	08:00:00	0.328	0.106	229.867	1.5	0.193	0.14	0.222
28/08/2023	10:00:00	0.261	0.066	238.28	1.129	0.149	0.104	0.168
28/08/2023	12:00:00	0.597	0.206	232.477	2.718	0.384	0.273	0.437
28/08/2023	14:00:00	0.328	0.094	236.133	1.445	0.19	0.142	0.223
28/08/2023	16:00:00	0.424	0.103	230.474	1.894	0.263	0.186	0.299
28/08/2023	18:00:00	0.705	0.176	239.7	3.031	0.451	0.333	0.524
28/08/2023	20:00:00	0.557	0.177	227.362	2.569	0.347	0.258	0.405
28/08/2023	22:00:00	0.34	0.113	229.319	1.562	0.208	0.142	0.231
29/08/2023	00:00:00	0.111	0.032	232.863	0.495	0.044	0.03	0.048
29/08/2023	02:00:00	0.074	0.012	230.988	0.326	0.017	0.012	0.019
29/08/2023	04:00:00	0.103	0.034	228.917	0.474	0.037	0.026	0.042
29/08/2023	06:00:00	0.744	0.192	233.34	3.294	0.48	0.352	0.555
29/08/2023	08:00:00	0.382	0.117	227.868	1.755	0.232	0.167	0.266
29/08/2023	10:00:00	0.283	0.096	228.688	1.306	0.164	0.116	0.186
29/08/2023	12:00:00	0.541	0.181	233.702	2.439	0.343	0.246	0.392
29/08/2023	14:00:00	0.325	0.098	225.867	1.502	0.188	0.14	0.22
29/08/2023	16:00:00	0.405	0.124	239.751	1.765	0.253	0.174	0.283
29/08/2023	18:00:00	0.69	0.149	235.186	3.002	0.451	0.318	0.511
29/08/2023	20:00:00	0.601	0.181	231.195	2.716	0.396	0.269	0.438
29/08/2023	22:00:00	0.387	0.131	239.382	1.707	0.239	0.166	0.269
30/08/2023	00:00:00	0.132	0.046	227.782	0.612	0.058	0.04	0.065
30/08/2023	02:00:00	0.082	0.028	237.559	0.364	0.023	0.016	0.025
30/08/2023	04:00:00	0.091	0.03	227.522	0.421	0.029	0.02	0.033
30/08/2023	06:00:00	0.708	0.211	232.841	3.174	0.471	0.322	0.523
30/08/2023	08:00:00	0.355	0.101	237.186	1.556	0.212	0.154	0.244
30/08/2023	10:00:00	0.28	0.061	229.56	1.249	0.161	0.115	0.184
30/08/2023	12:00:00	0.534	0.157	238.414	2.336	0.34	0.241	0.387
30/08/2023	14:00:00	0.349	0.119	234.339	1.572	0.215	0.145	0.237
30/08/2023	16:00:00	0.455	0.153	230.057	2.086	0.288	0.199	0.322
30/08/2023	18:00:00	0.743	0.135	232.995	3.242	0.494	0.341	0.552
30/08/2023	20:00:00	0.563	0.179	229.713	2.57	0.364	0.253	0.409
30/08/2023	22:00:00	0.329	0.071	233.534	1.441	0.2	0.136	0.222
31/08/2023	00:00:00	0.117	0.04	237.255	0.522	0.048	0.033	0.053
31/08/2023	02:00:00	0.075	0.015	230.98	0.33	0.017	0.013	0.02
31/08/2023	04:00:00	0.092	0.021	235.789	0.398	0.029	0.021	0.033
31/08/2023	06:00:00	0.712	0.226	233.132	3.204	0.459	0.334	0.53
31/08/2023	08:00:00	0.34	0.087	238.545	1.47	0.202	0.146	0.232
31/08/2023	10:00:00	0.28	0.094	239.12	1.235	0.162	0.114	0.184
31/08/2023	12:00:00	0.565	0.202	234.15	2.563	0.369	0.252	0.41
31/08/2023	14:00:00	0.35	0.081	233.464	1.54	0.216	0.146	0.239
31/08/2023	16:00:00	0.462	0.118	227.358	2.097	0.29	0.205	0.329
31/08/2023	18:00:00	0.715	0.122	235.999	3.072	0.477	0.324	0.528
31/08/2023	20:00:00	0.599	0.093	226.776	2.672	0.392	0.269	0.437
31/08/2023	22:00:00	0.336	0.063	238.728	1.431	0.2	0.143	0.228
01/09/2023	00:00:00	0.138	0.048	231.005	0.632	0.061	0.044	0.07
01/09/2023	02:00:00	0.096	0.029	225.169	0.444	0.032	0.023	0.036
01/09/2023	04:00:00	0.109	0.033	238.714	0.477	0.041	0.03	0.047
01/09/2023	06:00:00	0.802	0.259	231.793	3.637	0.525	0.377	0.602
01/09/2023	08:00:00	0.376	0.102	227.711	1.713	0.227	0.164	0.261
01/09/2023	10:00:00	0.342	0.087	230.463	1.53	0.206	0.145	0.233
01/09/2023	12:00:00	0.569	0.188	234.92	2.553	0.374	0.253	0.413
01/09/2023	14:00:00	0.335	0.116	231.236	1.534	0.206	0.138	0.226
01/09/2023	16:00:00	0.496	0.173	233.912	2.245	0.317	0.22	0.355
01/09/2023	18:00:00	0.764	0.249	238.391	3.371	0.491	0.364	0.571
01/09/2023	20:00:00	0.613	0.159	232.087	2.73	0.384	0.289	0.451
01/09/2023	22:00:00	0.428	0.114	231.809	1.911	0.264	0.19	0.302
02/09/2023	00:00:00	0.146	0.049	233.383	0.658	0.066	0.049	0.077
02/09/2023	02:00:00	0.106	0.031	239.103	0.464	0.039	0.029	0.045
02/09/2023	04:00:00	0.122	0.044	231.149	0.562	0.05	0.037	0.058
02/09/2023	06:00:00	0.879	0.312	234.852	3.972	0.571	0.421	0.663
02/09/2023	08:00:00	0.422	0.15	235.044	1.907	0.254	0.19	0.298
02/09/2023	10:00:00	0.368	0.088	227.742	1.661	0.219	0.161	0.254
02/09/2023	12:00:00	0.638	0.143	228.699	2.861	0.421	0.288	0.468
02/09/2023	14:00:00	0.423	0.1	230.978	1.881	0.256	0.19	0.298
02/09/2023	16:00:00	0.523	0.187	238.366	2.329	0.323	0.242	0.378
02/09/2023	18:00:00	0.84	0.277	225.493	3.923	0.556	0.393	0.631
02/09/2023	20:00:00	0.732	0.148	238.312	3.133	0.473	0.344	0.545
02/09/2023	22:00:00	0.425	0.108	230.719	1.899	0.259	0.19	0.3
03/09/2023	00:00:00	0.152	0.04	231.159	0.681	0.071	0.051	0.082
03/09/2023	02:00:00	0.095	0.02	239.137	0.407	0.031	0.023	0.036
03/09/2023	04:00:00	0.128	0.023	232.314	0.559	0.055	0.038	0.062
03/09/2023	06:00:00	0.83	0.261	225.433	3.86	0.547	0.389	0.624
03/09/2023	08:00:00	0.458	0.154	228.917	2.111	0.291	0.2	0.325
03/09/2023	10:00:00	0.381	0.126	232.88	1.722	0.228	0.168	0.264
03/09/2023	12:00:00	0.627	0.213	238.632	2.776	0.406	0.287	0.461
03/09/2023	14:00:00	0.379	0.091	233.302	1.669	0.235	0.161	0.262
03/09/2023	16:00:00	0.513	0.173	225.263	2.405	0.332	0.226	0.368
03/09/2023	18:00:00	0.959	0.241	233.942	4.227	0.643	0.45	0.725
03/09/2023	20:00:00	0.695	0.2	238.633	3.031	0.449	0.325	0.516
03/09/2023	22:00:00	0.448	0.149	225.795	2.09	0.282	0.196	0.317
04/09/2023	00:00:00	0.124	0.039	234.027	0.556	0.051	0.037	0.059
04/09/2023	02:00:00	0.086	0.019	230.364	0.384	0.025	0.018	0.029
04/09/2023	04:00:00	0.11	0.026	232.146	0.485	0.043	0.029	0.047
04/09/2023	06:00:00	0.802	0.284	228.281	3.726	0.519	0.381	0.601
04/09/2023	08:00:00	0.413	0.113	225.861	1.897	0.256	0.181	0.29
04/09/2023	10:00:00	0.305	0.104	236.51	1.363	0.174	0.131	0.204
04/09/2023	12:00:00	0.66	0.153	232.433	2.914	0.425	0.306	0.488
04/09/2023	14:00:00	0.342	0.071	237.223	1.473	0.207	0.144	0.233
04/09/2023	16:00:00	0.473	0.141	233.835	2.111	0.289	0.217	0.338
04/09/2023	18:00:00	0.879	0.145	227.125	3.922	0.578	0.416	0.663
04/09/2023	20:00:00	0.633	0.119	233.12	2.764	0.414	0.288	0.465
04/09/2023	22:00:00	0.43	0.1	234.85	1.881	0.272	0.186	0.303
05/09/2023	00:00:00	0.128	0.041	232.343	0.581	0.057	0.038	0.062
05/09/2023	02:00:00	0.098	0.022	225.684	0.446	0.035	0.023	0.038
05/09/2023	04:00:00	0.101	0.018	233.506	0.44	0.035	0.026	0.041
05/09/2023	06:00:00	0.796	0.138	229.501	3.521	0.537	0.363	0.593
05/09/2023	08:00:00	0.442	0.084	232.118	1.937	0.28	0.192	0.312
05/09/2023	10:00:00	0.304	0.108	237.368	1.359	0.179	0.126	0.203
05/09/2023	12:00:00	0.597	0.207	226.884	2.784	0.387	0.27	0.436
05/09/2023	14:00:00	0.349	0.122	235.827	1.567	0.207	0.151	0.239
05/09/2023	16:00:00	0.5	0.153	236.803	2.206	0.317	0.223	0.359
05/09/2023	18:00:00	0.874	0.28	234.215	3.918	0.56	0.424	0.659
05/09/2023	20:00:00	0.726	0.136	225.415	3.276	0.474	0.337	0.541
05/09/2023	22:00:00	0.441	0.066	236.922	1.883	0.271	0.197	0.313
06/09/2023	00:00:00	0.142	0.039	231.049	0.639	0.065	0.046	0.074
06/09/2023	02:00:00	0.097	0.021	239.664	0.413	0.033	0.024	0.037
06/09/2023	04:00:00	0.106	0.034	236.016	0.474	0.039	0.029	0.045
06/09/2023	06:00:00	0.744	0.23	229.351	3.395	0.478	0.352	0.555
06/09/2023	08:00:00	0.368	0.057	225.365	1.654	0.222	0.16	0.255
06/09/2023	10:00:00	0.308	0.1	235.159	1.377	0.186	0.126	0.205
06/09/2023	12:00:00	0.667	0.192	226.423	3.065	0.442	0.301	0.491
06/09/2023	14:00:00	0.393	0.098	232.018	1.744	0.235	0.175	0.274
06/09/2023	16:00:00	0.544	0.091	228.529	2.415	0.349	0.245	0.395
06/09/2023	18:00:00	0.829	0.266	232.688	3.74	0.534	0.397	0.623
06/09/2023	20:00:00	0.638	0.135	227.859	2.862	0.408	0.297	0.471
06/09/2023	22:00:00	0.37	0.068	239.443	1.57	0.23	0.156	0.254
07/09/2023	00:00:00	0.149	0.043	227.674	0.68	0.07	0.049	0.079
07/09/2023	02:00:00	0.094	0.019	227.378	0.42	0.03	0.022	0.035
07/09/2023	04:00:00	0.102	0.026	233.047	0.452	0.037	0.026	0.042
07/09/2023	06:00:00	0.703	0.222	238.086	3.098	0.447	0.334	0.523
07/09/2023	08:00:00	0.437	0.083	239.244	1.86	0.276	0.19	0.308
07/09/2023	10:00:00	0.325	0.112	233.253	1.475	0.192	0.138	0.22
07/09/2023	12:00:00	0.615	0.138	228.944	2.752	0.395	0.282	0.452
07/09/2023	14:00:00	0.33	0.077	228.359	1.485	0.191	0.144	0.224
07/09/2023	16:00:00	0.531	0.146	232.428	2.368	0.338	0.239	0.384
07/09/2023	18:00:00	0.864	0.203	230.248	3.854	0.572	0.405	0.65
07/09/2023	20:00:00	0.644	0.133	238.104	2.764	0.42	0.294	0.474
07/09/2023	22:00:00	0.434	0.099	237.936	1.871	0.274	0.188	0.306
08/09/2023	00:00:00	0.141	0.035	235.166	0.616	0.064	0.045	0.072
08/09/2023	02:00:00	0.084	0.016	238.137	0.359	0.023	0.017	0.027
08/09/2023	04:00:00	0.115	0.035	227.007	0.53	0.046	0.032	0.052
08/09/2023	06:00:00	0.714	0.141	237.206	3.069	0.465	0.332	0.531
08/09/2023	08:00:00	0.366	0.091	229.348	1.642	0.227	0.153	0.251
08/09/2023	10:00:00	0.324	0.079	228.945	1.456	0.192	0.137	0.219
08/09/2023	12:00:00	0.666	0.144	226.683	3.006	0.432	0.307	0.493
08/09/2023	14:00:00	0.394	0.096	230.16	1.762	0.247	0.167	0.273
08/09/2023	16:00:00	0.456	0.106	238.971	1.96	0.277	0.208	0.325
08/09/2023	18:00:00	0.779	0.272	235.581	3.501	0.513	0.363	0.582
08/09/2023	20:00:00	0.655	0.231	234.29	2.965	0.433	0.296	0.481
08/09/2023	22:00:00	0.444	0.097	239.439	1.898	0.27	0.201	0.315
09/09/2023	00:00:00	0.156	0.056	225.464	0.736	0.074	0.054	0.085
09/09/2023	02:00:00	0.099	0.023	236.502	0.429	0.034	0.025	0.039
09/09/2023	04:00:00	0.114	0.032	239.857	0.493	0.044	0.032	0.051
09/09/2023	06:00:00	0.786	0.182	236.863	3.406	0.507	0.374	0.589
09/09/2023	08:00:00	0.409	0.098	235.171	1.788	0.248	0.182	0.287
09/09/2023	10:00:00	0.378	0.108	227.336	1.73	0.236	0.16	0.261
09/09/2023	12:00:00	0.683	0.199	234.55	3.032	0.437	0.321	0.506
09/09/2023	14:00:00	0.435	0.079	231.158	1.912	0.265	0.196	0.308
09/09/2023	16:00:00	0.514	0.124	225.561	2.344	0.322	0.234	0.371
09/09/2023	18:00:00	0.957	0.153	232.104	4.177	0.623	0.462	0.726
09/09/2023	20:00:00	0.798	0.17	236.594	3.45	0.535	0.366	0.596
09/09/2023	22:00:00	0.469	0.159	234.368	2.114	0.285	0.216	0.336
10/09/2023	00:00:00	0.161	0.033	234.226	0.703	0.078	0.056	0.089
10/09/2023	02:00:00	0.092	0.021	226.953	0.414	0.029	0.021	0.033
10/09/2023	04:00:00	0.112	0.039	232.376	0.51	0.044	0.031	0.049
10/09/2023	06:00:00	0.804	0.247	236.904	3.549	0.526	0.378	0.603
10/09/2023	08:00:00	0.403	0.118	226.172	1.854	0.246	0.176	0.282
10/09/2023	10:00:00	0.354	0.082	229.417	1.583	0.217	0.149	0.242
10/09/2023	12:00:00	0.733	0.202	225.686	3.368	0.467	0.35	0.546
10/09/2023	14:00:00	0.376	0.126	239.703	1.655	0.228	0.163	0.261
10/09/2023	16:00:00	0.558	0.145	235.496	2.449	0.345	0.262	0.407
10/09/2023	18:00:00	0.861	0.297	232.762	3.915	0.563	0.409	0.649
10/09/2023	20:00:00	0.674	0.196	226.263	3.103	0.427	0.319	0.499
10/09/2023	22:00:00	0.452	0.093	235.304	1.962	0.276	0.205	0.322
11/09/2023	00:00:00	0.126	0.031	226.648	0.573	0.054	0.038	0.061
11/09/2023	02:00:00	0.082	0.029	238.956	0.362	0.022	0.016	0.025
11/09/2023	04:00:00	0.113	0.026	237.99	0.485	0.045	0.031	0.05
11/09/2023	06:00:00	0.741	0.257	237.159	3.309	0.496	0.338	0.55
11/09/2023	08:00:00	0.409	0.115	237.196	1.793	0.254	0.178	0.287
11/09/2023	10:00:00	0.317	0.11	235.928	1.422	0.182	0.137	0.214
11/09/2023	12:00:00	0.599	0.112	227.461	2.679	0.378	0.279	0.439
11/09/2023	14:00:00	0.395	0.13	230.086	1.807	0.246	0.169	0.275
11/09/2023	16:00:00	0.511	0.133	232.473	2.273	0.327	0.228	0.368
11/09/2023	18:00:00	0.767	0.121	239.846	3.238	0.506	0.355	0.572
11/09/2023	20:00:00	0.635	0.221	235.167	2.86	0.398	0.301	0.468
11/09/2023	22:00:00	0.386	0.073	231.947	1.693	0.238	0.166	0.268
12/09/2023	00:00:00	0.142	0.043	231.397	0.64	0.064	0.046	0.073
12/09/2023	02:00:00	0.099	0.019	225.694	0.446	0.034	0.024	0.039
